experiment_id,experiment_group,experiment_name,target,target_definition,basket_rule,long_fraction,short_fraction,weighting_scheme,ranking_scheme,short_treatment,training_window,alpha_learning_method,AUM,period,start_date,end_date,net_annual_return,net_vol,net_sharpe,max_drawdown,gross_sharpe,commission_drag,slippage_drag,borrow_drag,average_turnover,average_gross_exposure_used,cap_binding_days,fraction_cap_binding_days,average_long_names,average_short_names,IC_mean,IC_tstat,worst_12m_return,average_daily_commission_bps,average_daily_slippage_bps,average_daily_borrow_bps,notes
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,50000000.0,design_2010_2018,2010-01-01,2018-12-31,0.050177453307840514,0.042348706312942005,1.1773706105750976,-0.13818749944266362,3.820709361354109,0.5946462902651306,1.7840711267333889,0.26462133378049213,1.9976877078479665,0.9988438539239832,2263,0.9995583038869258,22.835689045936395,22.835689045936395,0.03531071308907466,9.799260651609965,-0.13805341670659055,0.9988438539239831,2.9965315617719486,0.4431665923896315,Current champion basket control.
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,50000000.0,validation_2019_2022,2019-01-01,2022-12-31,0.04971792029998623,0.06480254158692074,0.781242684724114,-0.1549894583077578,2.5786821002220863,0.38901230584936863,1.1670369175481072,0.2413901921004965,2.0,1.0,938,0.9305555555555556,27.805555555555557,27.805555555555557,0.01985138155316844,3.2922941851370706,-0.1501312803312499,1.0,2.9999999999999987,0.6198045750674881,Current champion basket control.
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,50000000.0,internal_holdout_2023_2024,2023-01-01,2024-12-31,-0.0017755413099328488,0.05557729549010408,-0.004273655443048118,-0.08020123171294924,2.0491535776000442,0.45241779541146343,1.35729125740514,0.243718180226489,1.99601593625498,0.99800796812749,263,0.5239043824701195,28.5,28.5,0.01262338697088347,1.3372717809089483,-0.044617422339631396,0.9980079681274899,2.99402390438247,0.5376054686591386,Current champion basket control.
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,50000000.0,full_2010_2024,2010-01-01,2024-12-31,0.04299204703485371,0.05106639721479896,0.8498947231965666,-0.15498945830775857,3.0711707251935665,0.49315528798577324,1.4795206075081244,0.24860010650310227,1.9980829280783774,0.9990414640391887,3464,0.9178590355060944,24.916534181240063,24.916534181240063,0.02816802648069744,9.46459597093671,-0.1501312803312499,0.9990414640391887,2.9971243921175645,0.5029067626139484,Current champion basket control.
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,250000000.0,design_2010_2018,2010-01-01,2018-12-31,0.03186340069091531,0.03198968422896705,0.9965390998644587,-0.10186483004750502,2.973395563747692,0.450905674117946,1.3584632170528512,0.1674875727124362,1.1535468266427036,0.5767734133213518,2264,1.0,22.835689045936395,22.835689045936395,0.03531071308907466,9.799260651609965,-0.10090323942890167,0.5767734133213518,1.7303202399640552,0.2121965674565698,Current champion basket control.
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,250000000.0,validation_2019_2022,2019-01-01,2022-12-31,0.07762083194661273,0.0697095782751094,1.1074255123155168,-0.09851396242016708,2.530771691043556,0.3092938226918309,0.9288800181138206,0.18517233792238752,1.7153655617051995,0.8576827808525997,1008,1.0,27.805555555555557,27.805555555555557,0.01985138155316844,3.2922941851370706,-0.0794616806591919,0.8576827808525997,2.573048342557798,0.5121404161806477,Current champion basket control.
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,250000000.0,internal_holdout_2023_2024,2023-01-01,2024-12-31,-0.0016693300069957617,0.06062422878642998,0.0026688460701988093,-0.09506742595622997,1.827711150613633,0.40398142202780285,1.2114474823634047,0.2096134001522266,1.9424215608289097,0.9712107804144549,501,0.99800796812749,28.5,28.5,0.01262338697088347,1.3372717809089483,-0.0615192934467359,0.9712107804144552,2.9136323412433645,0.5043428597138186,Current champion basket control.
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,250000000.0,full_2010_2024,2010-01-01,2024-12-31,0.039313875714648505,0.049002429630006346,0.8114787674891382,-0.10186483004750502,2.426777474051951,0.36062756861413847,1.0843779321292029,0.1702932058194715,1.4085358042538514,0.7042679021269257,3773,0.9997350291467939,24.916534181240063,24.916534181240063,0.02816802648069744,9.46459597093671,-0.10090323942890167,0.7042679021269257,2.1128037063807765,0.3311687026518558,Current champion basket control.
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,1000000000.0,design_2010_2018,2010-01-01,2018-12-31,0.009124999670905964,0.009131709576324715,0.9993117278716018,-0.02711198069339671,2.796091423116103,0.40850159669579567,1.2331500984508843,0.15512800009782135,0.2996090871397039,0.14980454356985196,2264,1.0,22.835689045936395,22.835689045936395,0.03531071308907466,9.799260651609965,-0.026844492899381955,0.14980454356985196,0.44941363070955587,0.056100389733495494,Current champion basket control.
phase2_g1_01_top_bottom_3pct_equal,G1_basket_size_concentration,"top/bottom 3%, equal weight",volatility_scaled_overnight_return,overnight_next / (vol20 / sqrt(252)),"top/bottom 3%, equal weight",0.03,0.03,equal_weight,raw_alpha_score,tiered_borrow_cost_only,4y_rolling,prior50_learned50,1000000000.0,validation_2019_2022,2019-01-01,2022-12-31,0.035985454978900266,0.033152396714607096,1.0830393834683292,-0.06852278547788793,2.080764490179839,0.21712722716544475,0.6527103015224702,0.12788757802359507,0.5740307916724502,0.2870153958362251,1008,1.0,27.805555555555557,27.805555555555557,0.01985138155316844,3.2922941851370706,-0.057113148752964804,0.2870153958362251,0.8610461875086752,0.16909075704418877,Current champion basket control.
